Komentar,Sentimen
info BMKG ok bagus,Positif
bmkg meleset.bmkg orqng2nya pada tidur ya. masa hujan jam sampe jam 9 malam kenyataannya gak hujan. BMKG makan gaji buta ya,Negatif
Terima Kasih. 🙏🏻 Sangat Membantu Sekali.,Positif
tolong untuk aplikasi BMKG tambahkan fitur widget cuaca dalam sehari terdiri dari beberapa jam di jamin oke lah ... kalau sudah saya kasih rating deh ... saya berharap ada yah kak,Netral
gabisa dibuka,Negatif
tolong infonya gempa dan cuaca sangat sangat terlambat notifikasi pembemberitahuannya diharap untuk diperbaiki agar prediksi nitifikasi cepat masuk,Negatif
aplikasi bagus sangat penting dan mudah untuk digunakan!!🙏,Positif
"Sangat membantu sihh..,tp kenapa titiknya gunung sahari ya skrang?",Positif
aplikasi BMKG ini sangat bermanfaat untuk melihat kondisi cuaca terkini dan juga dilengkapi dengan pemberitahuan gempa,Positif
gunung sahari terus..😄😄,Netral
"informasi yang ditanpilkan tidak jelas, lemot",Negatif
sangat ber manfaat,Positif
"sayang sekali, tidak ada widget",Positif
"gak berkembang malah jadi berat, dan gak bisa lagi liat index ultraviolet.",Negatif
prakiraan cuacanya salah trus,Negatif
keren aku suka🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,Positif
sangat bermanfaat,Positif
Aplikasi dari. Info. Bmkg ini tentunya sangat. Membantu dan dapat cepat mengetahui tentang peristiwa alam maupun bencana. Yang terjadi saat ini dan lebih dini. Sehingga kita dapat cepat mengetahui dan sama sama mengatasi dan memberikan bantuan yang dibutuhkan..,Positif
kurang akurat,Negatif
"kebanyakan notifikasi berisik,,, notifikasi hujan dijakarta, padahal saya tinggal dijambi,, buat apa? tolong diperbaiki",Negatif
hari Minggu gak ada update untuk himawari-9 EH nya... uninstall dulu dah,Negatif
ok,Netral
New version update version New update Version New Device Samsung galaxy New update Version supported on mobile,Netral
"lokasi tidak bisa ganti, selalu di gunung sahari selatan,.. mode bahasa juga tidak bisa di ganti..",Netral
Notifikasi Lokasi dan cuaca seharusnya langsung mendeteksi aktual lokasi. Tidak perlu mengatur secara manual.,Negatif
ok mantap,Positif
HALO?INI APLIKASI PENYELAMAT BANYAK NYAWA TERUS INI ABIS UPDATE?KO TAMBAH MAKIN BURUK SIH?MASUK CUMAN MENTOK LOGO?SINYAL LANCAR TAPI LOST CONNECTION?TEFAKK!,Negatif
"Untuk fitur yang ada sudah bagus, tetapi tolong tambahkan notifikasi khusus terutama untuk gempa, peringatan dini tsunami, dan badai agar semakin lengkap",Positif
apk error,Negatif
kurang akurat bikin satu kampung geger dengan mlesetnya prediksi cuaca,Negatif
info lokasi gunung sahari kapn mw diperbaiki.... sudah setengah tahun lho...,Negatif
tidak bagus jelek Lambat informasi,Negatif
perlu ditingkatkan lagi kemudahan pada tampilan android dan jangan ada iklan,Negatif
Kami sangat berharap aplikasi ini selalu menyediakan info yg terupdate. selalu di update cuaca maritimnya.,Positif
"Desa/Kelurahan yang masuk wilayah Kabupaten Bogor, Kabupaten Bekasi & Kabupaten Tangerang kalau dapat notifikasi Peringatan Dini Cuaca wilayahnya bukan Peringatan Dini Cuaca untuk wilayah JABODETABEK.",Negatif
"Lokasi saya di Cilebut Barat, Sukaraja, Kabupaten Bogor kalau dapet notifikasi munculnya berita Peringatan Dini cuaca yang akan terjadi di Wilayah Jawa Barat (Jawa Barat nggak termasuk BoDeBek), tp ketika ubah lokasi secara manual menjadi Ciganjur, Jagakarsa, Jakarta dapet beritanya Jabodetabek. Jd yang wilayah Jabodetabek selain Jakarta kalau dapet notifikasi Peringatan Dini nggak sesuai wilayahnya. Dan tampilan bawah di perangkat saya (Galaxy A33 5G) bertabrakan dengan tombol Bilah Navigasi.",Negatif
"bagis, tapi tolong jika ada peringatan gempa ato apapun, terlalu telat taunya sehingga prsiapan kurang matang. tolong diperbaiki untuk notifikasi peringatan gempanya",Positif
Di update malah BUG dimana-mana,Negatif
"ADMIN TOLONG APLIKASINYA DIPERBAIKI, UPDATE KOK JADI JELEK, TITIK LOKASI TDK SESUAI PADAHAL SUDAH DI SETTING MANUAL ATAU GPS",Negatif
"aplikasi ini tidak berguna, udah benar saya liat lokasi, misal besoknya hari cerah, ehh taunya hari hujan👎",Negatif
sangat membantu sekali,Positif
"sangat bagus, sebagai panduan keseharian",Positif
notifikasi gempanya terlambat 2jam setengah. informasi yang sangat2 terlambat. tolong di perbaiki,Negatif
baik,Positif
gasuka.. aku liat real-time gempa bumi gak muncul sama sekali udah berhari hari. payah,Negatif
zaa,Netral
fitur citra satelit error agaknya... tanggal benar tapi waktu yg ditunjukan tidak sesuai atau tidak realtime.,Negatif
hbs updet mlah sering keluar aplikasi sendiri,Negatif
Harap lokasi bisa diperbaiki agar bisa sesuai dengan lokasi pengguna aplikasi...sudah saya ubah lewat GPS maupun dengan memasukan kelurahan/desa lokasi tetap kembali lagi ke gunung sahari selatan setelah keluar dari aplikasi...karena saya sebagai pengguna ingin cepat untuk mengetahui perkiraan cuaca dilokasi saya secara otomatis setelah membuka aplikasi tanpa harus ubah lokasi secara manual,Netral
"Sangat bagus, tapi kenapa titik lokasinya menjadi gunung sahari, padahal sudah setting lokasi pakai gps dan manual juga.",Netral
sangat membantu,Positif
sangat membantu kami sebagai relawan kemanusiaan... Terima kasih,Positif
🤡,Negatif
sangat mambatu,Positif
mohon sering diberitakan musim jarak 3 s/d 6 bulan yang akan datang,Positif
Good,Positif
"tolong di perbaiki lagi ya🙏 untuk pemberitahuan gempanya sangat lama sekitar 30 menit sesudah kejadian baru muncul pemberitahuan ,, seharusnya kan pas kejadian langsung ada tuh pemberitahuan nya,,lebih bagus sih sebelum nya,,, terimakasih",Netral
daerah sampit kalimantan tengah gaada padahala ada kantor bmkg disini,Negatif
keren dan bagus,Positif
nice,Positif
oke,Positif
akurat terimakasih sangat membantu,Positif
sekarang kurang akurat infonya,Positif
untuk lokasi Purwakarta hilang min,Positif
sangat membantu,Positif
sangat membantu,Positif
bagus sekali!!!¡¡¡,Positif
"Kocak bangetttt... Setelah di update, masa titiknya di gunung sahari terus, sudah diperbaiki pakai GPS dan pilih cara manual tetap aja balik ke GUNUNG SAHARI... padahal kita di Pekanbaru Riau.....",Negatif
"jelek kali, informasinya gak to the point, org mau cari tau cuaca jam sekian itu apa, kasih teks jugak biar paham, gak cuman gambar, kasih persentasi hujan berapa persen di jam sekian, bisa buat informasi yg bagus gk sih?, apa gunannya ni aplikasi info bmkg kalau informasi aja setengah""",Negatif
kok tambah ngaco,Negatif
mudah2 semakin akurat presiksi2'nya,Netral
"di update makin parah , citra satelit gak bisa ditampilkan kadang eror. ganti vendor pembuat aplikasinya yg kompeten",Negatif
bagus,Positif
"ok bisa membantu, dalam kewaspadaan",Positif
aplikasi ini sangat di perlukan,Positif
Sangat membantu sekali dalam mencari info cuaca 👍,Positif
Alhamdulillah,Positif
"baru aja dowload lang sing ada peringatan gempa aja terus beneran deh gempa,, bener bener akurat nih aplikasinya",Positif
cukup baik,Positif
kenapa setelah update citra satelit tidak bisa di buka,Negatif
bagus,Positif
Bagus sekali...👍👍👍👍,Positif
"nyaris tepat , sangat bagus sebagai panduan untuk rutinitas kegiatan dlm keseharian",Positif
"Aplikasi yang sangat bagus dan sangat akurat,",Positif
sangat membantu,Positif
"baru aja pembaruan, citra satelit gk bisa dibuka",Positif
very helped,Positif
sangat membantu sekali bagi saya pribadi dan instansi dalam memberingan informasi dini buat masyarakat,Positif
kerenn....,Positif
"Lambat banget sekarang Pemberitahuan gempa nya , semakin jelek aplikasinya",Negatif
tala lagi sakit,Netral
mohot tambahkan mode gelap,Netral
kenapa tidak bisa diperbarui terima kasih,Negatif
aplikasi ini sangat bermanfaat buat yang belum tau berita bencana,Positif
aplikasi gak jelas buang duit rakyat,Negatif
"Kontribusi untuk cuaca tidak berguna. musalnya: Sudah diusulkan bahwa cuaca di lokasi Sukabakti, Curug, Tangerang, hujan lebat. tetapi di aplikasi tetap tertera BERAWAN. Jadi, untuk apa diminta ikut serta berkontribusi untuk cuaca jika aplikasi tidak diupdate?",Negatif
"Membantu Terutama Petani Penggarap Tembakau Untuk Berusaha Menghindari Adanya Kemungkinan Hujan Ringan Di musim Tembakau dan Waktu Menjemur Tembakau Rajangan di wilayah kami di musim bulan Agustus, September, Oktober ini juga saat musim hujan tiba untuk petani siap menanam palawija...dll Semoga Tim pengamat BMKG senantiasa di berikan kesehatan dan sukses selalu di bidangnya",Positif
"sebenernya sih bagus ya, cuma tambahin dong peringatan dini gempa kek jepang biar bisa antisipasi",Positif
kami di papua tp knp waktunya pake WIB. kan membingungkan.. tdk bsa atur zona waktu. tlong developer diperbaiki. 🙏,Negatif
"GPS/lokasi perangkat HP android tidak bisa disetting sesuai lokasi pemakai, beda jaraknya sampe 73 km dr perangkat. pdhal google GPS berjalan baik dan normal seduai lokasi perangkat.",Negatif
Tanjung Jabung Barat Jambi Tungkal Harapan,Netral
sering banget kalau habis gempa mau lihat info titik gempa apk eror tolong diperbaiki,Negatif
"tidak akurat, butut",Negatif
oke👍,Positif
aplikasi sampah pegawainya bayarane Tah gede tapi mending dukun....nglomboni udan ora ya udan jere terang ya udan gede,Negatif
aplikasinya bagus tapi diharapkan untuk kualitas udara bisa disesuaikan dengan lokasi kita,Positif
akurat,Positif
radar sering macet knp !?,Negatif
"Fitur radar gak berfungsi, apa anggaran lagi dikorupsi? Mikirlah kalian untuk orang lapangan perlu radar biar tau mau ujan atw nggak. Apa agama kalian gak ngajarin korupsi itu haram?? Atau masi beragama kalian??",Negatif
"Mohon bisa dijadikan widget pada smartphone , ini sudah sangat membantu",Positif
apknya terlalu ribet... prediksi hujannya juga tidak ada...,Negatif
sayangnya tidak widget untuk layar depan,Negatif
Cuaca Terbaik 😇,Positif
mantap,Positif
kurang fokus / detail,Positif
semoga BMKG LEBIH MAJU,Positif
